source	target	value
Waterfront	Waterfront	0
Burrard	Waterfront	2
Granville	Waterfront	3
Stadium-Chinatown	Waterfront	4
Main	Waterfront	6
Commercial-Broadway	Waterfront	9
Nanaimo	Waterfront	12
29th Avenue	Waterfront	13
Joyce	Waterfront	15
Patterson	Waterfront	17
Metrotown	Waterfront	18
Royal Oak	Waterfront	20
Edmonds	Waterfront	23
22nd Street	Waterfront	25
New Westminster	Waterfront	29
Columbia	Waterfront	30
Scott Road	Waterfront	33
Gateway	Waterfront	36
Surrey Central	Waterfront	37
King George	Waterfront	39
Waterfront	Burrard	2
Burrard	Burrard	0
Granville	Burrard	1
Stadium-Chinatown	Burrard	2
Main	Burrard	4
Commercial-Broadway	Burrard	7
Nanaimo	Burrard	10
29th Avenue	Burrard	11
Joyce	Burrard	13
Patterson	Burrard	15
Metrotown	Burrard	16
Royal Oak	Burrard	18
Edmonds	Burrard	21
22nd Street	Burrard	23
New Westminster	Burrard	27
Columbia	Burrard	28
Scott Road	Burrard	31
Gateway	Burrard	34
Surrey Central	Burrard	36
King George	Burrard	37
Waterfront	Granville	3
Burrard	Granville	1
Granville	Granville	0
Stadium-Chinatown	Granville	1
Main	Granville	3
Commercial-Broadway	Granville	6
Nanaimo	Granville	9
29th Avenue	Granville	10
Joyce	Granville	12
Patterson	Granville	14
Metrotown	Granville	15
Royal Oak	Granville	17
Edmonds	Granville	20
22nd Street	Granville	22
New Westminster	Granville	26
Columbia	Granville	27
Scott Road	Granville	30
Gateway	Granville	33
Surrey Central	Granville	34
King George	Granville	36
Waterfront	Stadium-Chinatown	4
Burrard	Stadium-Chinatown	2
Granville	Stadium-Chinatown	1
Stadium-Chinatown	Stadium-Chinatown	0
Main	Stadium-Chinatown	2
Commercial-Broadway	Stadium-Chinatown	5
Nanaimo	Stadium-Chinatown	8
29th Avenue	Stadium-Chinatown	9
Joyce	Stadium-Chinatown	11
Patterson	Stadium-Chinatown	13
Metrotown	Stadium-Chinatown	14
Royal Oak	Stadium-Chinatown	16
Edmonds	Stadium-Chinatown	19
22nd Street	Stadium-Chinatown	21
New Westminster	Stadium-Chinatown	25
Columbia	Stadium-Chinatown	26
Scott Road	Stadium-Chinatown	29
Gateway	Stadium-Chinatown	32
Surrey Central	Stadium-Chinatown	33
King George	Stadium-Chinatown	35
Waterfront	Main	6
Burrard	Main	4
Granville	Main	3
Stadium-Chinatown	Main	2
Main	Main	0
Commercial-Broadway	Main	3
Nanaimo	Main	6
29th Avenue	Main	7
Joyce	Main	9
Patterson	Main	11
Metrotown	Main	12
Royal Oak	Main	14
Edmonds	Main	17
22nd Street	Main	19
New Westminster	Main	23
Columbia	Main	24
Scott Road	Main	27
Gateway	Main	30
Surrey Central	Main	31
King George	Main	33
Waterfront	Commercial-Broadway	9
Burrard	Commercial-Broadway	7
Granville	Commercial-Broadway	6
Stadium-Chinatown	Commercial-Broadway	5
Main	Commercial-Broadway	3
Commercial-Broadway	Commercial-Broadway	0
Nanaimo	Commercial-Broadway	3
29th Avenue	Commercial-Broadway	4
Joyce	Commercial-Broadway	6
Patterson	Commercial-Broadway	8
Metrotown	Commercial-Broadway	9
Royal Oak	Commercial-Broadway	11
Edmonds	Commercial-Broadway	14
22nd Street	Commercial-Broadway	16
New Westminster	Commercial-Broadway	20
Columbia	Commercial-Broadway	21
Scott Road	Commercial-Broadway	24
Gateway	Commercial-Broadway	27
Surrey Central	Commercial-Broadway	28
King George	Commercial-Broadway	30
Waterfront	Nanaimo	12
Burrard	Nanaimo	10
Granville	Nanaimo	9
Stadium-Chinatown	Nanaimo	8
Main	Nanaimo	6
Commercial-Broadway	Nanaimo	3
Nanaimo	Nanaimo	0
29th Avenue	Nanaimo	1
Joyce	Nanaimo	3
Patterson	Nanaimo	5
Metrotown	Nanaimo	6
Royal Oak	Nanaimo	8
Edmonds	Nanaimo	11
22nd Street	Nanaimo	13
New Westminster	Nanaimo	17
Columbia	Nanaimo	18
Scott Road	Nanaimo	21
Gateway	Nanaimo	22
Surrey Central	Nanaimo	24
King George	Nanaimo	26
Waterfront	29th Avenue	13
Burrard	29th Avenue	11
Granville	29th Avenue	10
Stadium-Chinatown	29th Avenue	9
Main	29th Avenue	7
Commercial-Broadway	29th Avenue	4
Nanaimo	29th Avenue	1
29th Avenue	29th Avenue	0
Joyce	29th Avenue	2
Patterson	29th Avenue	4
Metrotown	29th Avenue	5
Royal Oak	29th Avenue	7
Edmonds	29th Avenue	10
22nd Street	29th Avenue	12
New Westminster	29th Avenue	16
Columbia	29th Avenue	17
Scott Road	29th Avenue	20
Gateway	29th Avenue	23
Surrey Central	29th Avenue	24
King George	29th Avenue	26
Waterfront	Joyce	15
Burrard	Joyce	13
Granville	Joyce	12
Stadium-Chinatown	Joyce	11
Main	Joyce	9
Commercial-Broadway	Joyce	6
Nanaimo	Joyce	3
29th Avenue	Joyce	2
Joyce	Joyce	0
Patterson	Joyce	2
Metrotown	Joyce	3
Royal Oak	Joyce	5
Edmonds	Joyce	8
22nd Street	Joyce	10
New Westminster	Joyce	14
Columbia	Joyce	15
Scott Road	Joyce	18
Gateway	Joyce	21
Surrey Central	Joyce	22
King George	Joyce	24
Waterfront	Patterson	17
